"name","address","is_in"
"宮の森霊苑","北海道札幌市中央区宮の森１２６３−３",1
"宮の森病院","北海道札幌市中央区宮の森１２３７−１",1
"宮の森幼稚園","北海道札幌市中央区宮の森９０４−７",1
"イリーゼ・宮の森","北海道札幌市中央区宮の森２条１０丁目１−４３",1
"宮の森スタジオ","北海道札幌市中央区宮の森１条１１丁目１−２",1
"恵和会宮の森病院","北海道札幌市中央区宮の森１２３７−１",1
"宮の森会館","北海道札幌市中央区宮の森２条５丁目２−２１",1
"おたからや　宮の森店","北海道札幌市中央区宮の森３条１１丁目１−５２",1
"おたからや　宮の森店","北海道札幌市中央区宮の森３条１１丁目１−５２",1
"宮の森保育園","北海道札幌市中央区宮の森２条５丁目２−２０",1
"ＪＵＪＵＢＥ　宮の森","北海道札幌市中央区宮の森３条５丁目６−２６",1
"宮の森皮膚科","北海道札幌市中央区宮の森３条７丁目１−７０",1
"宮の森中央歯科","北海道札幌市中央区宮の森２条６丁目２",1
"宮の森記念病院","北海道札幌市中央区宮の森３条７丁目５−２５",1
"宮の森フランセス教会","北海道札幌市中央区宮の森３条１０丁目３−２５",1
"宮の森ミュージアム・ガーデン","北海道札幌市中央区宮の森２条１１丁目２−１",1
"宮の森アニマルホスピタル","北海道札幌市中央区宮の森４条１０丁目３−１４",1
"ＳＡＭＡ宮の森本店","北海道札幌市中央区宮の森１条１１丁目２−１１",1
"宮の森関口整骨院","北海道札幌市中央区宮の森３条４丁目６−１８",1
"北海市場宮の森店","北海道札幌市中央区宮の森４条４丁目３−１６",1
"宮の森歯科診療所","北海道札幌市中央区宮の森１条１０丁目４−５",1
"北海道エネルギー Dr.Drive 宮の森SS","札幌市中央区宮の森3条7-1-66",1
"宮の森シュウデンタルオフィス","北海道札幌市中央区宮の森３条４丁目６−１８",1
"宮の森すまいる治療院","北海道札幌市中央区宮の森１条１１丁目２−１",1
"宮の森明和地区会館","北海道札幌市中央区宮の森２条１１丁目１−３",1
"クラ・ゼミ　宮の森校","北海道札幌市中央区宮の森１条６丁目３−４５",1
"札幌宮の森美術館","北海道札幌市中央区宮の森２条１１丁目２−１",1
"銀家　札幌宮の森本店","北海道札幌市中央区宮の森１条１１丁目３−１",1
"札幌宮の森郵便局","北海道札幌市中央区宮の森２条１０丁目３−１０",1
"宮の森三条内科クリニック","北海道札幌市中央区宮の森３条６丁目２−１０",1
"ヴィルヌーブ宮の森管理人室","北海道札幌市中央区宮の森３条９丁目１−３０",1
"あだち美容室宮の森店","北海道札幌市中央区宮の森３条８丁目１−８",1
"なの花薬局　宮の森店","北海道札幌市中央区宮の森３条７丁目５−２２",1
"宮の森ドミール管理組合　法人","北海道札幌市中央区宮の森１条５丁目１−１２",1
"トヨタレンタカー宮の森店","北海道札幌市中央区宮の森3条1丁目1-50",1
"ガーディアンカラー神宮前宮の森本校","北海道札幌市中央区宮の森１条７丁目１−１０",1
"ハイマート宮の森管理事務所","北海道札幌市中央区宮の森１条１０丁目６−１",1
"ラベンダー宮の森　管理人室","北海道札幌市中央区宮の森１条６丁目１−１５",1
"サツドラ　宮の森・３条店","北海道札幌市中央区宮の森３条２丁目５−１",1
"宮の森フランセス教会・マリアクリスティ","北海道札幌市中央区宮の森３条１０丁目３−２５",1
"文教堂書店　宮の森店","北海道札幌市中央区宮の森３条１丁目５−３５",1
"札幌市　宮の森ジャンプ競技場","北海道札幌市中央区宮の森１条１８丁目",1
"和食レストランとんでん　宮の森店","北海道札幌市中央区宮の森３条１丁目５−４３",1
"宮の森整骨院・ミーズ（ＭＩＺＵ）","北海道札幌市中央区宮の森１条５丁目１−４",1
"ケンタッキーフライドチキン宮の森店","北海道札幌市中央区宮の森２条１０丁目５−１０",1
"佐藤水産株式会社　宮の森店","北海道札幌市中央区宮の森３条１丁目５",1
"ファミリーマート　札幌宮の森中央店","北海道札幌市中央区宮の森３条１丁目５−６４",1
"ファミリーマート　札幌宮の森中央店","北海道札幌市中央区宮の森3条1-64",1
"株式会社マザーズ　札幌宮の森店","北海道札幌市中央区宮の森２条１１丁目６−１",1
"ダイハツ北海道販売株式会社　宮の森店","北海道札幌市中央区宮の森３条１丁目５−４５",1
"株式会社トヨタレンタリース札幌　宮の森店","北海道札幌市中央区宮の森３条１丁目１−５０",1
"宮の森大倉山連合町内会","北海道札幌市中央区宮の森２条１１丁目１−３",1
"札幌市立小学校　宮の森小学校","北海道札幌市中央区宮の森４条６丁目",1
"ローソン　札幌宮の森１条店","北海道札幌市中央区宮の森１条１１丁目３−１",1
"北海道エネルギー株式会社　宮の森ＳＳ","北海道札幌市中央区宮の森３条７丁目１７",1
"ギーズグリーン宮の森店生花部門","北海道札幌市中央区宮の森３条５丁目６−１９",1
"サザエ食品株式会社　宮の森本店","北海道札幌市中央区宮の森４条１丁目１−３５",1
"佐藤水産株式会社宮の森店","北海道札幌市中央区宮の森３条１丁目５−４６",1
"北海道銀行　中央区宮の森パーソナル支店","北海道札幌市中央区宮の森３条６丁目５−１",1
"公文式数国英宮の森教室","北海道札幌市中央区宮の森２条１０丁目５−１７",1
"こどもサポート教室クラ・ゼミ　宮の森校","北海道札幌市中央区宮の森１条６丁目３−４５",1
"ライオンズマンション宮の森公園南管理組合","北海道札幌市中央区宮の森３条５丁目２−２５",1
"ファミリーマート　札幌宮の森３条店","北海道札幌市中央区宮の森３条６丁目２−８",1
"札幌日産自動車株式会社　宮の森店","北海道札幌市中央区宮の森１条１丁目１−１",1
"札幌市立中学校　宮の森中学校","北海道札幌市中央区宮の森１条１６丁目",1
"株式会社道新販売センター　宮の森販売所","北海道札幌市中央区宮の森３条１０丁目３−１３",1
"株式会社道新販売センター宮の森販売所","北海道札幌市中央区宮の森３条１０丁目３−１３",1
"セブン‐イレブン　札幌宮の森４条店","北海道札幌市中央区宮の森４条４丁目３−６",1
"北海道警察本部西警察署交番宮の森","北海道札幌市中央区宮の森２条１１丁目１−１",1
"ファミリーマート　札幌宮の森３条店","北海道札幌市中央区宮の森 三条6丁目2-8",1
"ライオンズマンションＬＭ宮の森公園管理員室","北海道札幌市中央区宮の森２条２丁目３−２０",1
"国際興業株式会社外車部　宮の森営業所","北海道札幌市中央区宮の森２条１０丁目３−１８",1
"新和興産株式会社　宮の森オートガススタンド営業所","北海道札幌市中央区宮の森３条１丁目１−４",1
"札幌市役所スポーツ局施設　宮の森ジャンプ競技場","北海道札幌市中央区宮の森１条１８丁目",1
"株式会社タカノヘルスケア　茶話本舗デイサービス宮の森","北海道札幌市中央区宮の森１条１３丁目１−３８",1
"ぴよちゃんクリーニングエースランドリーグループ　エース宮の森店","北海道札幌市中央区宮の森２条５丁目２−８",1
"医療法人讃生会居宅介護支援事業所宮の森","北海道札幌市中央区宮の森３条７丁目５−２５",1
"札幌市役所　区役所中央区役所宮の森まちづくりセンター","北海道札幌市中央区宮の森２条１１丁目１−３",1
"リフレ宮の森","北海道札幌市中央区北４条西２４丁目１−１",0
"リフレ宮の森","北海道札幌市中央区北四条西24-1-1リラハイム円山",0
"リフレ宮の森","北海道札幌市中央区北４条西２４丁目１−１",0
"レクサス宮の森","北海道札幌市西区二十四軒１条７丁目２−１８",0
"イトマンフィットネス宮の森","北海道札幌市中央区北３条西２７丁目１−１",0
"宮の森スポーツ倶楽部　ゴルフスクール宮の森校","北海道札幌市中央区北３条西２７丁目１−１",0
"宮の森メンタルクリニック","北海道札幌市中央区北５条西２７丁目３−１２",0
"宮の森・よつば薬局","北海道札幌市中央区北４条西２９丁目２",0
"宮の森ファミリークリニック","北海道札幌市中央区北５条西２７丁目２−１",0
"宮の森　芸術倶楽部","北海道札幌市中央区大通西１８丁目１−１",0
"株式会社宮の森スポーツ","北海道札幌市中央区北３条西２７丁目１−１",0
"宮の森スキンケア診療室","北海道札幌市中央区北５条西２７丁目２−３",0
"まるやすマート　宮の森店","北海道札幌市中央区北５条西２５丁目１−１２",0
"キッズデュオ・札幌宮の森","北海道札幌市西区二十四軒２条７丁目１−１９",0
"ラビット札幌宮の森店","北海道札幌市西区二十四軒３条７丁目１−１９",0
"ラビット札幌宮の森店","北海道札幌市西区二十四軒３条７丁目１−１９",0
"ナカジマ薬局宮の森店","北海道札幌市中央区北５条西２７丁目２−３",0
"宮の森個別指導学院","北海道札幌市中央区北５条西２８丁目１−８",0
"ミスタードーナツ宮の森ショップ","北海道札幌市中央区北５条西２９丁目１−５",0
"宮の森矯正歯科クリニック","北海道札幌市中央区北５条西２６丁目１−７",0
"パック・ポーン　宮の森店","北海道札幌市中央区北４条西２８丁目１−１２",0
"ロイヤルホスト 宮の森店","北海道札幌市西区二十四軒1条7",0
"ホンダカーズ北海道　宮の森店","北海道札幌市西区二十四軒３条７丁目２−２１",0
"和光メンタルクリニック　札幌宮の森","北海道札幌市中央区宮ケ丘２丁目１−２",0
"幸福の科学北海道本部","北海道札幌市中央区宮の森９０４−１",1
"大乗院　国安寺","北海道札幌市中央区宮の森１２６３−３",1
"国安寺","北海道札幌市中央区宮の森１２６３−３",1
"北海道エネルギー Dr.Drive サムシング琴似SS","札幌市中央区宮の森2条1-1-7",1
"宮の森スポーツ倶楽部　ゴルフセンター","北海道札幌市中央区北３条西２７丁目１−１",0
"幸福の科学北海道正心館","北海道札幌市中央区宮の森９０４−１",1
"ハンバーグステーキノースコンチネント宮の森","北海道札幌市中央区北５条西２９丁目２−１",0
"イトマンスイミングスクール宮の森校","北海道札幌市中央区北３条西２７丁目１−１",0
"ヘアーサロングラン宮の森本店","北海道札幌市中央区北５条西２９丁目２−１",0
"ヘアーサロングラン宮の森本店","北海道札幌市中央区北５条西２９丁目２−１",0
"ヌーベルプース大倉山","北海道札幌市中央区宮の森1274 札幌オリンピックミュージアムアネックス2F",1
"宮の森珈琲山の手店","北海道札幌市西区山の手１条１２丁目６−１",0
"薬王寺","北海道札幌市中央区宮の森１２６３−３",1
"大倉山ジャンプ競技場運営本部管理事務所","北海道札幌市中央区宮の森１２７４",1
"松尾ジンギスカン　札幌宮の森店","北海道札幌市中央区北４条西２８丁目１−１５",0
"松尾ジンギスカン札幌宮の森店","北海道札幌市中央区北4条西28-1-15 スドウビル1F",0
"あおぞら　福祉タクシー","北海道札幌市中央区宮の森３条５丁目",1
"札幌市立小学校　三角山小学校","北海道札幌市中央区宮の森４条１１丁目",1
"いまいホームケア　クリニック","北海道札幌市中央区宮の森３条１丁目",1
"札幌市立小学校　大倉山小学校","北海道札幌市中央区宮の森３条１３丁目",1
"アジア航測株式会社札幌営業所","北海道札幌市中央区宮の森２条１丁目",1
"洋食屋 kitchen 楽 swing","北海道札幌市中央区宮の森1条5 宮の森スリットビル2F",1
"札幌理容協同組合","北海道札幌市中央区宮の森２条６丁目２−５",1
"のざわ歯科医院","北海道札幌市中央区宮の森１条１１丁目１−４０",1
"藤田外科整形外科","北海道札幌市中央区宮の森３条７丁目１−６８",1
"ネッツトヨタ道都株式会社　中央店営業","北海道札幌市中央区宮の森４条１丁目３−１",1
"ネッツトヨタ道都株式会社　中央店サービス","北海道札幌市中央区宮の森４条１丁目３−１",1
"調剤薬局　ツルハドラッグ宮の森３条店","北海道札幌市中央区宮の森３条６丁目２−１５",1
"グループホームゆずり葉宮の森","北海道札幌市中央区宮の森２条５丁目２−２７",1
"株式会社ＧＩＣＪａｐａｎ","北海道札幌市中央区宮の森３条１１丁目１−３４",1
"株式会社ＧＩＣＪａｐａｎ","北海道札幌市中央区宮の森３条１１丁目１−３４",1
"Ｄ‐Ｌａｘコンビニフィットネス山の手","北海道札幌市中央区宮の森３条８丁目２−３０",1
"セイコーマート　はまざき店","北海道札幌市中央区宮の森１条１５丁目４−１",1
"恵和興産株式会社","北海道札幌市中央区宮の森２条１６丁目１１−２",1
"インパクト・ジム","北海道札幌市中央区宮の森１条６丁目５−１",1
"株式会社ＧＩＣコンサルティング","北海道札幌市中央区宮の森３条１１丁目１−３４",1
"株式会社スタープロジェクト","北海道札幌市中央区宮の森２条２丁目４−１１",1
"北海道森林管理局　治山課","北海道札幌市中央区宮の森３条７丁目７０",1
"北海道森林管理局森林整備第一課","北海道札幌市中央区宮の森３条７丁目７０",1
"株式会社地球システム科学　札幌支店","北海道札幌市中央区宮の森２条２丁目４−１１",1
"どんぐり児童育成会","北海道札幌市中央区宮の森２条１３丁目７−１０",1
"プロシア管理（合同会社）","北海道札幌市中央区宮の森３条６丁目５−１０",1
"北海道動物運動器病院","北海道札幌市中央区宮の森３条１０丁目３−８",1
"わんえいと美容室","北海道札幌市中央区宮の森３条６丁目５−１０",1
"株式会社東洋コンサルタント","北海道札幌市中央区宮の森２条１丁目１−１８",1
"株式会社ジオネット","北海道札幌市中央区宮の森３条１丁目３−２",1
"てんばや","北海道札幌市中央区宮の森４条１丁目１",1
"株式会社平田地所","北海道札幌市中央区宮の森１条１３丁目３−１３",1
"北海道森林管理局石狩地域森林ふれあい推進センター","北海道札幌市中央区宮の森３条７丁目７０",1
"北海道森林管理局　石狩地域森林・ふれあい推進センター","北海道札幌市中央区宮の森３条７丁目７０",1
"介護タクシーさとほろ","北海道札幌市中央区宮の森１条６丁目１−１５",1
"前田千恵子税理士事務所","北海道札幌市中央区宮の森２条１７丁目８−５",1
"株式会社リストワールインターナショナル","北海道札幌市中央区宮の森３条４丁目３−１１",1
"土地家屋調査士原田正樹事務所","北海道札幌市中央区宮の森１条１０丁目３−４７",1
"札幌明日佳病院","北海道札幌市中央区宮の森一条17丁目1番25号",1
"札幌市役所子ども未来局　子ども育成部三角山小ミニ児童会館","北海道札幌市中央区宮の森４条１１丁目",1
"札幌聖心女子学院中学校","北海道札幌市中央区宮の森２条１６丁目１０−１",1
"あすなろセレモニー","北海道札幌市中央区宮の森１条９丁目４−１０",1
"日本森林林業振興会（一般財団法人）札幌支部","北海道札幌市中央区宮の森４条４丁目１−５",1
"株式会社ｎｉｔｄ","北海道札幌市中央区宮の森３条１３丁目５−４１",1
"レーヴラボー美容室","北海道札幌市中央区宮の森１条１０丁目３−２４",1
"ポコペロ","北海道札幌市中央区宮の森３条１１丁目１−１",1
"大倉山テラスハウス","北海道札幌市中央区宮の森２条１５丁目５−１５",1
"司法書士砂田事務所","北海道札幌市中央区宮の森２条１０丁目６−５",1
"北海道森林管理局　経理課","北海道札幌市中央区宮の森３条７丁目７０",1
"北海道森林管理局　経理課","北海道札幌市中央区宮の森３条７丁目７０",1
"佐藤水産株式会社　お客様サービスセンター","北海道札幌市中央区宮の森３条１丁目５−４６",1
"クルミルク","北海道札幌市中央区宮の森２条５丁目２−３",1
"株式会社パナマ","北海道札幌市中央区宮の森１条１１丁目１−２",1
"美容健康流通センター","北海道札幌市中央区宮の森２条２丁目４−１１",1
"北海道森林管理局　保全調整課","北海道札幌市中央区宮の森３条７丁目７０",1
"水野工業株式会社","北海道札幌市中央区宮の森２条９丁目４−３２",1
"松元配管工業株式会社","北海道札幌市中央区宮の森２条１１丁目３−１２",1
"株式会社パートナー","北海道札幌市中央区宮の森１条６丁目２−１９",1
"北海道森林管理局総務課","北海道札幌市中央区宮の森３条７丁目７０",1
"有限会社谷口商事","北海道札幌市中央区宮の森３条１３丁目４−１５",1
"札幌トヨタ自動車株式会社　琴似支店","北海道札幌市中央区宮の森３条１丁目１−４６",1
"有限会社西條広告事務所","北海道札幌市中央区宮の森１条６丁目３−４１",1
"株式会社恒友ジャーナル","北海道札幌市中央区宮の森４条１１丁目１−１",1
"株式会社サンモク","北海道札幌市中央区宮の森１条５丁目１−１２",1
"北日本リースレンタル事業部","北海道札幌市中央区宮の森１条１１丁目１−２",1
"ラッキー山の手店　衣料館","北海道札幌市中央区宮の森４条７丁目３−２０",1
"株式会社ワールド・ワンダートレーディング","北海道札幌市中央区宮の森２条１６丁目５−１０",1
"株式会社ワールドワンダートレーディング","北海道札幌市中央区宮の森２条１６丁目５−１０",1
"大向興産株式会社","北海道札幌市中央区宮の森２条１２丁目１",1
"株式会社ｎｉｃｅ","北海道札幌市中央区宮の森１条１１丁目１−２",1
"リボン・リハビリセンターみやのもり","北海道札幌市中央区宮の森１条６丁目２−１５",1
"木田紀子税理士事務所","北海道札幌市中央区宮の森１条６丁目５−１",1
"北海道いすゞ自動車株式会社　本社特販部","北海道札幌市中央区宮の森２条１丁目２−５５",1
"北海道いすゞ自動車株式会社　札幌支店営業部・業務部","北海道札幌市中央区宮の森２条１丁目２−５５",1
"株式会社アーキ・アドサイン","北海道札幌市中央区宮の森４条１２丁目９−２７",1
"フーズバラエティすぎはら","北海道札幌市中央区宮の森１条９丁目３−１３",1
"フーズバラエティすぎはら","北海道札幌市中央区宮の森１条９丁目３−１３",1
"株式会社札幌コミュニティ放送局","北海道札幌市中央区宮の森１条１１丁目３−１",1
"株式会社シーアップル","北海道札幌市中央区宮の森３条４丁目３−１１",1
"奥芝商店・おくしばぁちゃん","北海道札幌市中央区宮の森１条１０丁目７−２０",1
"株式会社白須建築事務所","北海道札幌市中央区宮の森２条９丁目４−３１",1
"株式会社メテオ電子","北海道札幌市中央区宮の森４条７丁目３−１",1
"東亜工業株式会社","北海道札幌市中央区宮の森３条１３丁目５−２４",1
"トヨタビスタ札幌労働組合","北海道札幌市中央区宮の森４条１丁目３−１",1
"ネッツトヨタ道都労働組合","北海道札幌市中央区宮の森４条１丁目３−１",1
"札幌塗装工業株式会社","北海道札幌市中央区宮の森２条９丁目１−１０",1
"札幌塗装工業株式会社","北海道札幌市中央区宮の森２条９丁目１−１０",1
"ヘアーメイクＴＡＭＯＮ","北海道札幌市中央区宮の森１条６丁目５−１",1
"富樫正一　土地　家屋調査士事務所","北海道札幌市中央区宮の森２条１７丁目１８−１７",1
"仏壇・仏具・創友舎","北海道札幌市中央区宮の森３条４丁目３−１１",1
"アルファコートＸ宮の森２","北海道札幌市中央区宮の森４条６丁目２−２０",1
